protein_id	DMSO_R1	DMSO_R2	DMSO_R3	DMSO_R4	Erl_R1	Erl_R2	Erl_R3	Erl_R4	Lap_R1	Lap_R2	Lap_r3	Lap_R4	Sor_R1	Sor_R2	Sor_R3	Sor_R4	Sun_R1	Sun_R2	Sun_R3	Sun_R4
sp|P43897|EFTS_HUMAN	9.10048	9.8736	9.0164	10.3459	9.07636	11.4716	9.10499	10.5285	10.1269	10.6687	10.0148	10.9693	9.02204	10.676	9.09933	11.5568	8.90873	11.0757	9.00639	10.3576
sp|P45379|TNNT2_HUMAN	12.7437	10.7517	13.6095	11.0701	13.4495	6.99617	13.7869	7.80569	9.64762	7.16433	10.4447	7.87178	14.7006	5.09271	10.0279	5.3111	13.0705	6.38315	11.2521	8.8201
sp|P45877|PPIC_HUMAN	10.0398	10.6105	9.89139	10.1318	9.89233	9.49879	10.7698	11.408	11.2557	8.9675	8.65614	8.49121	10.791	10.013	8.69338	8.02236	8.74969	10.1816	13.5812	10.3548
sp|P45880-1|VDAC2_HUMAN	9.24585	10.4657	8.89483	10.6173	9.1317	10.9585	9.48099	10.8214	10.801	10.5862	10.8342	10.3732	9.31588	10.2172	9.65079	10.2763	8.83482	10.4431	9.21214	9.83883
sp|P45954|ACDSB_HUMAN	9.35385	10.1307	8.80586	10.0298	8.81848	10.8576	8.75068	10.973	9.73808	10.4815	9.91069	9.67408	8.95639	11.58	9.13281	12.1544	8.36521	11.7182	8.87508	11.6937
sp|P45973|CBX5_HUMAN	8.80555	9.98409	10.0905	10.4775	9.80976	11.9811	9.04575	10.3872	9.84623	11.8388	7.82357	11.3191	8.09223	9.82279	8.40278	11.3235	9.74276	10.0767	9.77172	11.3584
sp|P45974|UBP5_HUMAN	10.0049	10.0009	9.74302	9.45504	9.65178	10.0415	9.78715	10.1722	9.64566	10.1309	9.8599	10.4772	9.58223	10.1696	9.72375	10.3797	10.5124	10.26	10.3291	10.073
sp|P45983|MK08_HUMAN	8.86651	10.9166	9.44053	9.9362	10.3433	10.9982	10.5206	11.3454	10.1338	12.2258	10.1126	11.556	8.83156	9.11045	10.1442	8.68233	9.44397	9.1298	9.0218	9.24028
sp|P45984-4|MK09_HUMAN	10.1875	9.91264	9.23267	9.51077	10.122	10.4987	9.83888	10.8952	10.1853	10.0212	9.87254	9.97971	8.65816	9.98695	9.49539	10.4345	10.2488	10.1786	10.5356	10.2047
sp|P45985-2|MP2K4_HUMAN	10.1651	9.77212	10.6662	9.8433	10.1557	9.81905	9.6534	9.90292	10.0344	9.61415	9.38523	10.1982	10.1901	9.84998	9.8347	10.3758	10.4207	9.97879	10.1829	9.95735
sp|P46013|KI67_HUMAN	10.7594	7.32578	9.64188	6.73936	9.36869	12.2535	7.25061	15.9634	7.16849	13.4934	5.98056	14.5401	6.75282	10.6802	7.86034	11.6639	9.65927	12.5385	10.5529	9.80686
sp|P46019|KPB2_HUMAN	10.0129	9.58326	10.4752	9.67068	9.62578	10.599	9.86298	10.3619	9.55317	10.7558	9.41294	10.4146	9.2852	10.7135	9.96513	9.47827	9.83345	10.0379	10.8537	9.5045
sp|P46020|KPB1_HUMAN	9.38719	10.1329	9.98086	9.32844	9.8721	10.502	9.24758	10.4256	10.0321	11.0043	9.94977	10.2272	8.6843	10.7843	9.69826	10.311	9.66846	9.93223	10.8088	10.0225
sp|P46060|RAGP1_HUMAN	9.49416	10.8992	9.89311	10.8403	11.0523	10.2831	9.96562	9.7781	10.3791	10.12	9.23084	10.351	10.1822	8.22352	10.0167	10.0858	10.2944	9.07193	8.9978	10.8407
sp|P46063|RECQ1_HUMAN	9.41297	10.4736	9.76906	9.81903	9.71416	11.5813	9.71785	11.1459	9.3215	12.1938	9.82766	11.2762	8.45612	10.13	9.82259	9.72407	9.40683	9.30976	9.64045	9.25721
sp|P46087-4|NOP2_HUMAN	9.1869	9.65384	9.62624	10.0358	10.8651	9.29702	10.5406	9.43665	10.1945	9.37327	9.8359	9.43105	10.5855	9.87881	10.7224	10.3973	10.5698	10.3953	9.83465	10.1393
sp|P46100|ATRX_HUMAN	9.31258	10.8039	9.45856	9.91653	10.5478	10.8556	8.86335	10.8217	10.2866	11.1673	10.2593	11.338	9.70364	8.75172	9.70312	10.4161	9.75336	8.81753	9.7612	9.46216
sp|P46108|CRK_HUMAN	10.9973	9.10394	9.5355	9.66619	10.1875	10.2546	9.66551	10.3788	10.2031	10.0799	9.77084	10.1539	10.1095	10.039	9.92949	10.473	9.45568	9.56942	10.2938	10.133
sp|P46109|CRKL_HUMAN	10.1034	10.042	10.2947	9.51378	9.61782	10.2337	9.57089	10.3359	9.47189	10.1792	9.67911	9.86604	9.45452	10.5204	9.62667	10.6978	10.0263	10.3509	10.3218	10.0934
sp|P46199|IF2M_HUMAN	9.61696	9.81084	8.93215	10.2268	9.50148	10.8669	9.11091	10.9569	10.0819	10.3065	10.478	10.7026	9.54484	10.477	9.65703	10.769	9.02285	10.7706	9.1187	10.0479
sp|P46379-3|BAG6_HUMAN	10.1395	9.65903	9.76013	10.0045	9.68426	9.91457	9.68413	9.99894	10.0986	10.049	10.3536	9.98761	10.153	10.3208	9.92104	10.3061	10.2678	9.7134	10.0915	9.89247
sp|P46459|NSF_HUMAN	10.3306	9.82856	10.0598	9.60321	9.63586	10.1075	10.1395	9.86656	9.95904	9.77632	9.57543	10.1319	9.75556	10.1659	9.90736	10.1647	10.0029	10.4378	10.617	9.93456
sp|P46527|CDN1B_HUMAN	8.86064	10.6227	10.507	12.2305	10.3161	9.31584	8.15746	9.85999	11.5296	10.7074	10.1231	10.0562	9.72975	9.31105	10.9373	8.50028	9.84266	9.76417	9.75046	9.8778
sp|P46734-3|MP2K3_HUMAN	10.1342	10.7017	9.7992	10.2937	10.73	9.02401	11.0866	8.33277	10.2755	8.93374	10.3035	8.75458	10.894	9.43888	10.6646	10.3027	10.2304	9.63762	9.57218	10.8902
sp|P46736|BRCC3_HUMAN	9.80754	9.51959	10.7544	9.91361	9.87325	9.9299	11.983	7.2747	10.0795	10.6343	9.47066	10.6318	9.64196	10.7598	12.4728	8.17566	9.1032	10.651	10.4386	8.88477
sp|P46776|RL27A_HUMAN	10.4592	10.1882	10.6218	8.77612	11.2642	8.73508	10.4506	10.0383	11.0127	8.63723	9.57872	8.5803	10.3137	8.83093	10.3093	10.8774	10.4353	10.1234	9.88205	10.8855
sp|P46777|RL5_HUMAN	9.76261	10.9816	10.0929	9.28654	11.2411	8.7189	9.77206	10.3628	10.2221	9.37152	9.95677	8.90829	9.66704	9.75718	9.54245	11.1417	10.613	9.66498	10.0081	10.9284
sp|P46778|RL21_HUMAN	10.4591	10.3775	10.9903	9.86223	10.2858	9.19051	11.1488	7.7399	10.8333	9.3311	9.51429	8.93383	10.8828	9.06943	11.4659	9.68987	9.52625	10.0443	10.158	10.4969
sp|P46779-3|RL28_HUMAN	10.2988	10.0525	10.0879	9.19216	11.2624	8.44469	11.0402	8.86225	10.6196	8.31497	10.1341	8.49354	11.1977	9.41147	10.3187	10.8034	10.5181	9.87979	10.2365	10.8313
sp|P46781|RS9_HUMAN	11.0592	10.8017	10.4046	9.47296	9.9566	8.84511	10.7	8.75116	9.606	8.33919	9.80422	8.88381	11.7367	10.1391	10.7442	10.497	10.1805	9.3358	10.0763	10.6658
sp|P46782|RS5_HUMAN	10.2761	10.0737	10.2201	9.69394	10.6949	8.88072	11.7049	8.79212	10.3792	8.95475	9.35096	8.61105	11.0119	9.49955	10.1707	10.3144	10.412	9.8171	10.3174	10.8244
sp|P46783|RS10_HUMAN	10.9241	10.1906	9.87098	9.35726	10.3604	8.95155	9.90219	9.58697	10.0288	8.67393	10.3345	9.28788	11.0038	9.25863	10.518	10.782	10.5939	10.0142	9.9546	10.4057
sp|P46821|MAP1B_HUMAN	11.2566	9.65635	9.63331	8.62217	12.0001	6.17959	12.2368	7.91617	10.0297	5.91188	9.58608	7.66001	12.9753	8.64786	10.6074	11.3198	12.192	11.1505	9.26771	13.1505
sp|P46926|GNPI1_HUMAN	10.1173	8.50918	10.044	9.41523	8.35175	10.8361	9.1205	10.3796	9.30079	10.8967	9.48252	10.0628	8.79552	13.1355	9.34139	11.4078	8.84048	11.2168	9.49036	11.2559
sp|P46934-4|NEDD4_HUMAN	9.77712	9.71388	9.288	10.1652	10.1889	9.98978	9.73865	10.4964	10.349	10.2237	10.0199	11.6694	9.88141	9.46874	9.45329	8.80969	9.86025	10.5473	10.5787	9.7808
sp|P46937-9|YAP1_HUMAN	8.96611	9.71557	9.92115	9.30602	10.3396	10.9504	9.24352	11.0756	10.1384	10.8939	9.27913	10.8566	8.69924	10.1954	9.71359	10.7401	9.95659	10.1448	9.96071	9.90357
sp|P46939-2|UTRO_HUMAN	9.8681	10.059	9.84246	10.1371	10.7712	10.4689	10.5969	10.3238	10.0395	10.4034	10.0734	10.6691	9.84529	8.84031	10.1454	9.17141	10.628	9.07632	9.9933	9.0471
sp|P46940|IQGA1_HUMAN	11.836	9.49363	10.3671	9.70668	9.73497	8.57331	10.2752	9.3947	10.6975	7.71372	10.0518	10.4295	10.5634	10.0732	10.5621	9.96336	11.5284	9.78592	9.75523	9.49428
sp|P46976-2|GLYG_HUMAN	9.74089	10.2694	9.04127	12.0988	9.55972	10.5323	11.4236	11.0459	8.98362	9.78872	12.2067	9.27542	10.4671	10.6225	10.6809	8.76126	9.54374	10.492	9.71907	5.74704
sp|P46977|STT3A_HUMAN	10.4075	9.84532	10.3828	10.0496	9.95985	9.71372	10.1688	9.73112	11.4627	9.71697	10.589	10.2826	10.251	9.47045	10.7116	9.04619	9.67169	9.5007	10.1979	8.84034
