protein_id	D311	U311	S311	E311	L311	D312	U312	S312	E312	L312	D121	U121	S121	E121	L121	D122	U122	S122	E122	L122	D321	U321	S321	E321	L321	D322	U322	S322	E322	L322
sp|P54289|CA2D1_HUMAN	10.3323	10.5963	10.3037	9.64994	10.1534	9.80552	10.5042	10.2291	9.4015	9.02414	10.1901	9.65451	10.0776	10.0472	9.46849	9.71398	10.3124	10.5546	10.2524	9.72878	10.3864	10.1066	9.33262	10.6887	10.1207	10.2982	10.42	10.621	9.53628	8.48969
sp|P54296|MYOM2_HUMAN	7.95016	8.32397	9.60709	9.88026	10.8253	11.5621	9.7601	9.4275	11.0982	11.5653	10.5085	9.87578	9.77969	8.71702	9.0266	9.70463	10.3213	10.2745	11.4965	10.2955	9.19234	8.81468	9.75258	9.64945	11.8707	11.6356	9.53701	8.95268	9.61713	10.9778
sp|P54577|SYYC_HUMAN	9.99297	9.15136	10.0036	9.59069	9.95919	9.76219	11.8156	11.671	9.07377	8.97967	10.2196	9.24307	10.6368	10.4463	10.8005	9.99365	10.4124	10.0527	9.48004	8.715	9.79961	9.62877	9.37226	9.6125	9.62467	9.44353	11.6051	11.3919	9.96866	9.55302
sp|P54578|UBP14_HUMAN	10.3217	9.95497	10.4996	9.47148	9.75417	9.14541	10.3524	10.1362	10.5655	9.79858	9.77366	10.3644	9.77405	10.0592	9.42856	10.0791	10.2719	10.2757	10.0564	9.91697	9.66577	10.3425	9.47833	9.81246	9.78737	9.36493	10.2136	10.5691	10.8089	9.95699
sp|P54619-3|AAKG1_HUMAN	9.82698	10.5737	8.63992	8.5281	9.6571	9.71666	9.62615	11.6468	10.7172	11.0674	9.17812	8.69368	9.81028	9.16462	12.56	10.0135	9.53761	9.38507	10.6824	10.9747	9.97394	9.00076	10.5017	8.51352	9.25198	9.66127	10.4412	10.5711	10.6455	11.439
sp|P54646|AAPK2_HUMAN	11.0111	10.2616	9.61616	9.48158	9.29349	9.35839	9.77972	10.105	10.5608	10.5322	9.84319	9.58911	10.4175	10.2981	11.1795	9.40594	10.0633	9.1032	9.98246	10.1177	10.6505	11.0224	10.0036	9.96302	9.7661	9.45093	9.17073	9.12669	10.2511	10.5951
sp|P54652|HSP72_HUMAN	9.93562	10.8657	9.68168	10.3452	9.92327	9.05295	10.9853	10.3096	9.47531	9.42535	9.78978	10.4776	9.16013	10.9421	9.44675	10.442	10.1681	10.611	8.90245	10.0601	9.84301	9.67018	9.08661	9.73091	9.65736	9.48901	10.848	10.6583	10.95	10.0667
sp|P54707-2|AT12A_HUMAN	11.414	10.5007	10.0524	10.1572	9.22523	9.34989	9.43953	9.68278	10.442	9.73621	10.3759	9.30366	9.65257	11.5011	9.47448	9.63577	9.80982	11.0963	9.26679	9.88358	11.5155	11.974	11.0933	9.81121	10.5736	9.51884	7.54682	7.56669	9.94738	10.4526
sp|P54709|AT1B3_HUMAN	9.74531	9.94024	10.5289	10.7335	9.34569	9.34856	9.78999	9.70335	10.0692	10.7954	9.68438	10.0728	10.0677	10.1223	9.99068	9.7512	9.60315	9.71762	9.94553	11.0447	10.7798	9.64665	10.3808	10.3612	9.53484	10.1811	9.51147	8.8721	10.2416	10.4906
sp|P54725|RD23A_HUMAN	9.53486	10.1413	8.65942	10.6519	11.444	9.43871	9.94453	9.45906	10.0107	10.7155	8.69826	10.4628	9.76411	9.59431	8.93156	10.641	11.1291	9.57165	10.4029	10.8043	10.2804	9.80484	8.8483	7.98156	10.1827	10.0149	10.0062	10.3425	12.4641	10.0745
sp|P54727|RD23B_HUMAN	10.5807	10.511	10.1066	10.2737	10.5286	9.28173	10.367	9.01189	9.81927	9.51944	10.3172	9.88364	10.2879	9.69781	9.5441	9.86591	10.2404	10.0291	10.4257	9.70817	10.0844	10.1034	10.1211	9.70418	9.96688	9.35338	10.0725	10.1303	10.856	9.60783
sp|P54753|EPHB3_HUMAN	10.6853	12.0037	10.2632	10.314	10.4506	8.79737	10.2201	8.11512	9.90331	9.24721	10.5475	11.5249	9.84345	9.24753	10.1908	9.37977	10.838	10.2576	9.06758	9.10287	10.5664	10.1363	9.73994	10.4653	8.83466	7.35994	11.4805	11.2352	10.7791	9.40274
sp|P54764|EPHA4_HUMAN	9.12142	9.78429	10.0289	9.65058	10.0668	9.27897	8.16272	8.24394	13.1322	12.5302	10.7392	10.3197	10.8615	9.04314	11.3067	9.75941	8.7748	8.86804	10.6761	9.65129	9.41433	9.35998	10.3052	10.3359	9.63014	9.52681	8.83311	8.55154	11.1648	12.8781
sp|P54802|ANAG_HUMAN	9.39626	9.10815	9.08239	8.50664	10.28	8.63167	9.97007	10.428	12.4393	12.1574	9.47871	9.98423	9.81074	9.46058	10.8263	9.75626	10.0688	9.33956	10.4355	10.8394	9.77812	9.82948	10.1219	10.0622	10.0617	9.66485	9.26444	9.75692	10.3943	11.0661
sp|P54803|GALC_HUMAN	9.22279	8.38345	8.89937	8.53351	9.72588	9.18562	9.63295	10.1649	13.3316	12.9199	9.46699	8.8338	10.0075	9.26361	11.0841	9.38906	10.3205	9.04306	11.4913	11.1001	9.52714	9.43156	10.3266	9.45304	9.95712	9.95216	8.90205	9.78905	11.3279	11.3334
sp|P54819|KAD2_HUMAN	9.29829	9.94726	9.11221	9.73249	9.59993	10.1308	10.6582	10.9717	10.2879	10.2612	10.2196	10.4209	9.46096	9.92843	9.13836	9.89233	10.1431	10.401	10.3666	10.0287	10.1327	9.371	9.67295	8.2739	9.11037	11.5421	11.2	10.092	9.78478	10.8202
sp|P54852|EMP3_HUMAN	10.0065	10.4672	9.23024	9.038	10.9953	10.4136	9.92883	9.73067	9.88073	10.3089	8.09877	9.68854	9.80229	8.87305	10.3013	10.3442	9.87562	9.47336	9.98372	13.5591	12.6502	8.28437	7.13703	10.8172	9.95581	11.0282	8.58318	10.7661	12.0993	8.67856
sp|P54886|P5CS_HUMAN	8.98542	8.92794	9.0317	9.45745	10.0206	9.94557	10.9309	11.4173	10.4638	10.8193	9.71515	10.0856	9.59649	9.77894	10.0447	9.96697	10.0647	10.4715	9.97906	10.2969	9.24158	9.62992	9.72971	9.59085	9.91537	9.85	10.7952	11.0416	10.104	10.1017
sp|P54920|SNAA_HUMAN	10.1966	10.5464	9.37993	9.84066	9.8871	9.59412	10.0276	11.302	9.62377	9.60192	9.81441	9.29304	9.77367	9.86117	11.0926	9.67479	10.6639	9.95144	10.1787	9.69624	11.3033	9.48296	8.94646	8.32693	8.65058	11.1161	14.1974	9.74419	9.14242	9.08965
sp|P54922|ADPRH_HUMAN	10.4372	9.76794	10.3178	10.4903	10.1973	9.12412	10.185	10.8084	9.29136	9.38056	9.87154	10.5096	10.2631	10.4271	11.3723	9.66546	9.76836	8.86727	9.63328	9.62195	10.9884	10.2837	10.0047	9.37982	10.5423	10.6401	9.65472	9.55357	9.56186	9.39094
sp|P55010|IF5_HUMAN	10.0631	10.57	11.3122	9.96623	9.77082	10.0857	10.45	9.22185	9.46886	9.09114	10.3154	9.75955	10.6224	9.67606	9.55253	9.99177	10.2023	10.1842	9.86689	9.82889	10.1821	9.83025	10.0545	9.85108	10.4355	9.97694	10.3394	10.1296	9.51681	9.6838
sp|P55011|S12A2_HUMAN	9.55672	10.4228	11.585	10.398	10.5674	9.63577	8.60927	8.03119	10.7488	10.4451	9.98515	9.92502	11.2833	8.75225	10.1861	10.0092	10.6289	9.25443	9.64351	10.3321	9.96028	9.44094	10.1106	10.7145	9.79783	9.63146	9.33231	10.2597	10.4109	10.3414
sp|P55036|PSMD4_HUMAN	9.23188	10.7551	8.84443	10.3269	10.0815	10.3836	9.92389	10.349	9.6368	10.4669	9.6502	10.4678	9.26044	10.7247	9.23136	10.6238	9.59613	10.9472	9.62256	9.87579	9.91124	10.2702	9.39717	9.73397	10.0681	9.70991	10.0195	10.4728	10.5368	9.88025
sp|P55039|DRG2_HUMAN	10.4101	9.57434	10.4274	9.4647	9.82369	9.56574	9.77718	11.1937	9.68877	10.0744	9.52199	9.02187	10.749	10.0067	12.0459	10.0078	9.50828	9.54982	9.42957	10.159	10.1352	9.68225	11.2395	9.89656	10.5349	9.81502	9.6986	9.66842	8.95997	10.3697
sp|P55040|GEM_HUMAN	14.7286	10.7783	11.2724	12.7007	8.4638	9.98842	9.65617	9.04179	6.76551	6.60428	9.80231	11.0972	11.2943	11.5203	10.1416	9.28178	10.1824	10.4847	6.54223	9.65321	9.84175	9.74566	11.6283	11.6272	10.1179	8.60686	12.7311	10.2216	8.46868	7.01082
sp|P55042|RAD_HUMAN	13.5179	11.7383	9.97511	10.3215	9.55618	9.46104	8.25035	8.70021	9.4602	9.01923	9.72517	9.6486	9.92382	13.083	9.64103	8.78625	10.1569	9.98824	9.28365	9.76334	13.1053	14.6316	11.6756	10.3959	11.9	9.01147	5.91079	6.07752	9.3706	7.92122
sp|P55060|XPO2_HUMAN	10.164	9.39438	9.51341	9.38776	9.58677	9.58275	10.5308	10.8319	10.6351	10.3732	9.71324	10.015	10.4573	9.98746	10.7057	9.97329	10.169	9.17364	10.0173	9.78799	10.1435	9.9394	9.56011	9.35482	8.63308	9.67312	11.3018	11.2613	9.8702	10.2627
sp|P55072|TERA_HUMAN	9.91856	10.2588	10.0341	10.1029	9.73308	10.3116	10.3114	10.2422	9.62795	9.45958	10.0486	10.4781	9.84654	10.0254	9.3688	10.1059	10.2043	10.4456	9.81048	9.66621	9.89498	10.0285	10.0098	9.97929	10.006	9.79428	10.2096	10.2589	9.89714	9.92157
sp|P55081|MFAP1_HUMAN	9.34505	10.2159	8.862	10.4545	9.6376	9.81915	10.3759	9.80667	10.6277	10.8555	9.0792	9.68253	8.87362	11.2043	8.75114	11.5016	8.86209	11.605	9.2558	11.1847	9.62445	10.0138	9.86533	10.0928	9.58547	9.50579	10.1792	9.48951	11.006	10.6377
sp|P55084|ECHB_HUMAN	9.31601	8.66401	9.14885	9.25821	9.70034	10.0166	11.0302	10.8906	11.1868	10.7884	10.4034	10.0618	9.4161	9.56681	9.70809	9.71475	10.0872	10.2826	10.65	10.1091	8.57258	8.87234	9.40536	9.27606	10.2671	10.4458	10.4064	11.3922	10.7692	10.593
sp|P55145|MANF_HUMAN	10.3479	11.1118	11.7095	10.9479	12.4993	10.344	9.95604	8.25592	7.76048	7.06723	10.9724	10.0485	11.1559	9.4637	9.60683	10.0056	10.5431	9.9955	9.36213	8.84642	10.3558	8.86284	10.5483	12.1641	8.61343	11.8611	12.2183	10.2089	7.92791	7.2394
sp|P55196-5|AFAD_HUMAN	10.2045	10.6069	10.5988	10.2206	9.41268	9.69689	9.58639	9.08801	10.0308	10.5544	10.293	10.4499	10.6811	10.0774	10.0566	9.04807	9.69226	9.63163	10.1068	9.96343	10.175	9.75961	10.2371	10.3416	10.0379	9.45584	9.8836	9.24823	10.1741	10.687
sp|P55209|NP1L1_HUMAN	10.3985	11.0518	9.80911	9.94143	9.46218	10.3256	9.96164	10.14	9.78284	9.12692	10.2178	9.16714	9.48596	10.701	10.8271	10.128	8.76848	11.3883	8.94737	10.3688	10.3571	10.5805	9.38443	9.40399	9.3941	9.14195	10.6511	11.036	10.3289	9.72196
