DMSO_1,DMSO2,Erlotinib1,Erl2,Lap1,Lap2,Sor1,Sor2,Sun1,Sun2
8.2715,8.84734,9.84009,10.1181,10.2745,10.4238,10.2537,10.178,11.2271,10.5659
9.97092,9.92689,9.55375,9.85258,9.62704,9.59484,10.8269,10.8681,10.1271,9.65184
9.8152,9.39367,9.92674,9.71859,10.373,9.64861,10.0762,10.3926,10.4493,10.2061
9.67352,9.72578,9.63021,8.88679,9.64393,9.98266,10.8848,11.0007,10.1249,10.4468
10.0817,9.73366,9.77895,9.06969,10.3181,9.90901,10.1654,9.96517,10.5056,10.4726
9.79493,10.0525,9.05075,9.49787,9.87809,10.0727,10.0781,10.9767,10.3296,10.2688
9.07583,9.20981,9.31752,8.96329,9.87152,9.73707,10.9191,11.8063,10.5307,10.5688
9.25089,9.01737,9.2913,9.34023,9.90782,9.83573,11.7923,12.0028,9.406,10.1556
9.73175,9.93342,9.27844,9.24809,9.70042,10.899,10.2551,10.0439,11.2797,9.63026
11.8154,10.2655,10.2912,9.58034,9.12482,9.43996,9.5959,10.5861,9.68674,9.61411
10.1046,10.0751,9.67017,9.46097,9.62605,9.40295,10.2563,10.6154,10.6946,10.094
10.0418,9.84016,9.62487,9.86032,9.34023,10.4327,10.1426,9.90792,10.2942,10.5152
8.2838,10.1286,9.9117,7.82215,9.9171,8.73237,11.9261,10.8521,11.2116,11.2145
9.05915,9.21006,9.83792,9.34717,10.3726,10.3934,10.1575,10.8983,10.2202,10.5037
9.76842,9.96206,8.71136,9.06984,9.23882,9.53656,9.99217,10.5237,11.833,11.3641
9.41745,9.75078,9.92233,9.90556,10.0738,10.1034,10.1646,10.832,10.1723,9.65772
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.1225,10.0084,10.7805,9.94602,10.9852,10.728,9.93469,9.50234,8.98395,9.00846
8.90292,7.99522,8.98223,9.84932,9.85648,11.3777,9.6039,9.27961,11.6621,12.4905
9.16445,10.6681,9.86285,11.1946,10.2437,9.25063,8.50545,6.00207,12.631,12.4771
6.92656,9.0812,10.1084,9.96003,8.87524,10.721,7.08963,8.60874,13.1338,15.4954
10.3857,10.1554,10.3319,9.61369,9.86242,9.50663,10.2351,10.0616,10.0323,9.81529
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.8764,10.5958,10.1154,9.84601,9.91006,9.35855,10.0939,10.5469,9.93454,9.72239
9.27707,9.4164,10.9195,10.1504,10.4282,10.356,10.2888,9.94523,9.15076,10.0677
8.06325,9.97232,9.42284,9.6895,9.24015,12.0455,7.95377,9.83222,11.6269,12.1535
12.6731,12.912,9.2053,8.25098,10.7864,9.20518,8.12791,8.73069,10.7016,9.40691
11.1215,11.9206,9.091,9.34552,9.43747,9.48427,8.81232,9.9849,10.7661,10.0363
10.1899,10.0381,10.1296,9.99498,10.2192,9.65655,10.2221,10.1676,9.87143,9.51065
9.89382,10.5482,9.2919,10.0935,9.49409,9.66538,10.6192,10.9889,9.94612,9.4589
10.0566,10.2339,9.54847,7.26076,11.1607,9.66348,8.95079,11.4186,11.7973,9.90938
10.6919,12.2914,8.7141,7.87092,6.44543,6.90816,8.53981,9.52095,14.9936,14.0237
