DMSO_1,DMSO2,Erlotinib1,Erl2,Lap1,Lap2,Sor1,Sor2,Sun1,Sun2
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.6063,9.99183,10.7825,10.4042,10.8745,10.0998,9.78351,9.23605,9.31753,8.90367
10.1738,10.322,9.75506,9.83138,9.09604,10.4596,10.2346,11.0008,9.50917,9.61759
10.1611,10.1086,9.26215,9.00533,9.85257,9.39565,11.1938,10.589,10.2359,10.1958
10.443,10.4431,10.2501,9.86531,9.39406,9.58647,10.4342,10.0879,9.78459,9.71126
9.1842,10.0051,9.27466,9.97511,10.6978,10.685,9.95702,9.95448,10.1169,10.1498
9.5004,9.59071,8.99783,9.64332,9.86828,10.1487,10.2732,9.89712,11.1295,10.9508
9.05624,8.98927,8.59062,9.47352,9.67043,10.5612,10.7119,11.7264,10.4373,10.7831
10.6031,10.0252,10.416,6.70888,9.0492,12.3726,11.3863,9.31511,9.5543,10.5693
8.89737,9.36988,9.77757,10.0826,10.9245,10.5125,9.34342,10.3449,10.0005,10.7466
9.63815,8.99197,9.70341,9.48975,10.6057,10.0548,10.0842,10.1732,10.5008,10.758
10.5534,10.1764,11.8766,10.2167,10.3621,9.13404,9.41441,10.0694,9.22026,8.97664
9.07881,9.31734,9.14624,9.27932,9.7963,10.3364,10.822,10.9848,10.7718,10.4671
8.87042,10.1343,9.86506,9.51799,11.8433,9.42522,9.78932,8.27599,10.5749,11.7035
10.7477,11.4864,10.315,10.303,9.75142,10.1054,10.4752,10.0389,8.37776,8.39939
9.68193,10.8013,8.73441,10.8114,9.33499,10.2252,8.35494,8.80412,11.4266,11.825
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.32205,10.2608,9.99428,11.3913,10.7856,10.1048,8.12317,7.82213,10.7245,11.4712
10.1176,10.0797,11.9582,10.3211,10.5808,10.0602,9.47565,8.23303,9.94458,9.22914
11.2004,9.47127,10.1009,8.78692,9.277,9.21432,9.60576,11.7689,10.0155,10.559
10.6682,10.2502,9.70179,9.60094,9.35108,9.73921,10.3593,11.0296,9.58903,9.71075
9.84758,9.93249,8.91868,9.74801,9.7115,10.0914,10.0464,11.398,9.81256,10.4934
9.81824,10.3856,9.89402,10.0606,9.08558,9.30509,10.2897,10.7338,10.5802,9.8471
10.0985,9.26068,9.3735,9.36282,9.67473,9.62143,10.5664,10.8545,10.7108,10.4766
9.12423,9.86806,9.20393,9.96021,10.3504,9.90174,9.72095,9.73385,10.8504,11.2862
9.9906,9.58716,9.33526,8.99625,10.569,9.03278,9.96965,9.93098,11.2726,11.3158
9.8447,9.989,9.62408,10.0938,10.0383,9.84307,10.433,10.4728,9.69726,9.96404
9.53839,10.2142,9.76724,9.74992,10.6858,9.85601,9.53396,9.60752,10.1883,10.8588
10.0739,9.85799,9.20252,9.45083,10.6134,9.68343,10.3567,10.5384,10.1302,10.0927
10.6869,11.5725,9.88233,10.665,10.2669,10.3692,9.9066,9.52237,8.5669,8.56133
10.7331,10.7625,18.6341,11.0067,9.16423,8.8629,8.69937,8.52122,6.72978,6.88614
11.1358,10.4298,9.83339,10.012,9.63981,10.2108,8.94715,9.15267,10.3781,10.2605
9.98581,9.30885,9.27723,9.12148,9.24019,9.31916,11.3026,10.943,11.0165,10.4851
9.76775,9.86017,9.76618,9.62661,10.5217,10.0038,10.027,9.76928,10.7358,9.92164
9.23436,8.51648,9.46275,9.14657,10.2929,9.74103,11.3584,10.8285,11.124,10.295
10.3957,10.0608,9.87151,9.48075,9.99645,9.67101,10.8478,10.4863,9.88821,9.30143
12.0139,12.8904,12.8914,11.634,9.50437,9.51976,8.37002,7.66667,7.79958,7.70988
11.9425,13.9328,14.1666,12.3801,10.6575,10.7296,6.60612,6.01222,6.66209,6.91052
12.0441,11.7151,12.5854,11.5716,9.95693,9.90446,9.19342,8.51535,7.23089,7.28275
9.83604,9.74547,9.49712,9.58829,10.3311,9.47054,10.3467,10.0362,10.4594,10.6891
9.48629,8.66203,8.80193,8.33646,9.01636,9.30211,13.6469,12.931,10.1558,9.66105
10.2529,10.6477,11.7063,10.6055,10.282,9.89745,8.79338,9.03396,9.49029,9.2904
9.63192,9.52508,10.8459,10.4771,10.9296,10.4506,9.37389,8.97431,9.87608,9.91541
10.7532,14.3557,14.5721,14.3338,11.4834,9.95468,5.89656,4.73263,6.90314,7.01487
11.0563,13.7198,15.2035,13.4881,11.2214,10.7938,6.00682,4.57693,7.09369,6.83973
10.6505,12.8724,16.4214,13.5643,13.1533,9.49122,5.378,4.44064,7.67435,6.35394
10.4227,13.7477,13.1925,15.0757,11.1353,10.268,6.18756,5.18614,7.14648,7.63795
10.8751,14.3022,15.2898,14.4216,12.3818,10.0165,5.48307,4.56106,6.16164,6.50716
11.0813,15.7889,9.74542,11.4506,9.06252,10.1682,7.60765,8.18391,9.08865,7.82292
9.24185,9.41284,8.57506,9.55779,10.0712,10.0645,9.52352,9.6325,11.944,11.9767
9.65167,9.07574,8.60173,10.8188,9.49826,9.59227,9.02515,9.40479,13.3194,11.0122
7.73426,9.96289,8.9536,10.2737,12.3088,9.12998,8.07796,8.77884,11.1428,13.6372
9.87561,10.2128,9.69241,9.82345,9.94125,9.549,10.1724,10.2533,10.2357,10.2441
10.2502,9.86111,11.2505,10.5624,10.5646,9.93554,9.6681,9.8578,9.0695,8.98032
8.80996,9.7423,10.8664,9.63937,10.1241,8.85604,9.74332,11.3916,10.5246,10.3023
9.64221,10.6559,9.10118,10.3663,9.40656,10.3569,11.0399,11.7989,8.67878,8.95332
10.8413,10.4668,9.92528,10.4478,10.541,10.2366,10.437,10.5638,8.32977,8.21079
9.47675,9.50564,9.61156,9.38,10.0158,9.91839,10.6781,10.7003,10.6124,10.101
9.71038,9.14665,11.1564,10.241,10.8195,9.53274,9.28263,8.63129,11.1329,10.3467
10.1583,9.4355,9.7107,9.39926,9.74679,9.6958,11.5599,10.2195,10.2098,9.86443
9.75914,10.0473,9.19146,9.76585,9.53993,9.45359,10.7965,10.5319,10.4796,10.4346
8.99212,9.00309,8.86364,9.17196,10.2204,9.5586,10.7822,10.9386,11.4603,11.0091
10.3727,10.4125,10.0911,10.704,10.3454,10.0587,10.257,10.7059,8.33931,8.71332
9.96709,9.52219,9.69874,9.64578,10.1443,9.82768,10.5449,10.6638,9.95578,10.0298
9.5096,9.7426,10.4178,9.536,10.4907,10.1262,9.26053,10.3276,10.0148,10.5742
10.1435,13.9684,10.586,10.9522,8.83513,8.23946,9.70506,8.64969,9.25146,9.66906
10.0151,10.3557,10.1336,10.7283,9.66101,10.125,8.75827,9.2858,10.4919,10.4453
8.85343,9.40102,8.96328,10.0022,10.0208,10.0206,9.96046,10.4135,11.0006,11.3642
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.78774,9.84407,9.96997,10.7376,10.8001,11.4641,9.82313,9.68025,9.08721,9.80576
10.7101,10.3267,10.615,9.71733,9.83263,9.11211,10.7587,10.3271,9.34879,9.25159
8.5871,7.75582,8.89968,10.6004,10.5057,10.6716,10.1081,10.3451,10.9143,11.6123
11.4936,9.96492,18.9631,9.23643,6.77201,9.44586,8.60255,10.5871,7.66713,7.26736
8.9288,8.879,8.8659,9.31337,10.6743,10.8407,10.2478,10.5569,10.6926,11.0006
8.85852,9.40992,8.86165,10.3734,9.597,10.2604,9.91145,11.3407,10.0015,11.3855
8.98936,10.0346,8.82678,9.34454,10.2535,9.88179,11.1784,11.8278,9.83959,9.82369
9.34334,8.40058,8.86984,8.87541,9.84758,10.2994,10.8979,11.4229,11.234,10.809
9.73944,9.95436,9.4788,9.5147,10.4389,9.74678,11.1813,10.4414,10.0925,9.41186
9.22239,9.7841,8.03687,8.76151,7.99626,12.4064,9.55087,11.539,11.1531,11.5496
9.59139,8.10164,10.1302,9.92755,9.54375,9.93377,11.8853,12.4201,9.42289,9.04342
10.2994,10.036,9.61077,9.52182,9.55213,11.1929,10.3782,11.4097,9.06858,8.9305
9.88653,10.0503,9.24913,10.2199,9.60719,10.5329,9.87889,9.77108,10.4242,10.38
9.97813,9.80531,8.90566,10.0136,9.73961,9.46375,10.8152,10.4679,10.3691,10.4418
10.1929,9.68449,9.1876,9.19074,10.539,9.36063,9.35622,9.88115,11.7403,10.867
9.04586,8.39079,8.66971,8.65724,9.80142,10.2528,9.92359,10.2269,12.6597,12.3719
9.99893,9.94281,10.1257,10.6978,10.8999,10.3153,9.9126,9.06801,9.60137,9.4377
9.38054,9.35961,9.49818,9.08905,10.4629,10.1126,11.0231,10.4573,10.6203,9.99647
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.72491,9.92726,12.9392,11.5695,11.0339,10.8814,8.49911,8.7018,8.38147,8.34156
10.1376,9.83338,9.70502,9.67273,10.0176,9.63677,11.1244,10.9627,9.64642,9.26345
9.7542,9.93963,11.1088,10.9573,10.0537,10.0168,10.3294,10.1596,8.67362,9.00689
10.253,9.69188,10.1125,9.84529,10.2921,9.79623,9.74982,9.76803,10.1912,10.2999
9.555,9.57836,9.55859,9.97787,10.0836,10.0728,10.2136,10.2823,10.1645,10.5133
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.04967,10.1673,10.2539,11.0079,12.3811,10.6846,9.94951,8.6475,8.83039,9.02797
10.3499,10.4696,9.4314,9.92522,10.0021,9.67746,10.4144,9.96348,9.96166,9.80479
9.66367,9.2124,10.3581,10.4148,10.9038,11.7009,9.34791,9.965,9.02228,9.41107
9.9425,10.1415,11.6027,10.8768,10.8916,10.5485,7.43789,7.54093,10.5817,10.4357
10.7909,8.99462,9.75031,8.8598,9.75162,8.45189,12.0271,11.8756,9.85029,9.64778
9.77851,10.7459,9.87277,9.424,11.5209,10.7986,9.5786,10.0936,9.31091,8.87621
8.48902,8.62337,8.51219,9.60738,9.81954,10.4715,10.752,11.1595,11.146,11.4195
10.324,10.877,9.891,9.57029,10.5304,9.56731,10.4008,9.05127,10.328,9.45996
11.4175,8.79791,10.9216,9.72781,9.66689,11.0574,10.2816,9.55895,9.4378,9.13261
10.6154,11.1918,10.5852,10.3919,10.5075,10.3438,9.81769,9.26998,8.7074,8.56946
10.732,10.8712,8.30193,11.7154,10.4999,10.6385,9.89792,9.53025,8.69588,9.11701
10.7023,9.58118,9.78776,10.5806,10.1938,10.0532,11.0349,10.2572,9.13528,8.67374
10.4903,10.8475,10.3962,10.4056,10.2746,10.2409,9.0281,8.68059,9.69845,9.93773
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.2782,11.2384,10.6063,11.657,9.93787,10.3657,10.6983,9.8809,7.53238,7.80498
8.49162,10.9234,11.2587,11.2739,9.80595,10.4913,10.0524,10.3915,8.2019,9.10943
9.81868,9.6858,10.2388,10.2008,10.1422,9.98952,9.53581,9.52652,10.5255,10.3364
10.0576,9.64087,10.8551,8.71515,11.2517,8.92182,9.59488,9.40887,10.7895,10.7645
11.0361,8.69674,14.0066,7.78389,9.51144,8.72125,11.8664,7.71032,10.1246,10.5426
10.523,11.5482,10.2605,10.8238,10.0561,10.0928,9.3765,9.1146,9.02792,9.17655
10.914,11.317,10.7392,10.6833,10.1745,9.86004,9.42932,8.71347,9.21363,8.95553
10.8702,10.4478,10.8658,10.3427,10.1186,10.2293,10.0424,9.30764,9.00833,8.76718
