'Erl','Lap','Sor','Sun','GSE12260.txt','GSE42177.txt','GSE81448.txt','GSE76314','GSE40289'
0.053143,0.30676,-0.01799,-1.027,-0.121,0.46051,0.232,0.19507,0.055621
0.11179,0.18734,0.42672,0.10678,0.064,-0.67582,0.31,0.052169,1.1795
-0.33054,-0.087601,-0.3305,-0.43611,0.028,-0.39526,0.046,0.052903,1.4243
0.15919,-0.62026,-0.88448,-1.2911,-0.0756,-0.64908,-0.062,-0.037643,-1.911
-0.048207,0.067401,-0.040311,-0.56873,-0.14,-0.3945,-0.004,0.1929,-0.4889
-0.13298,-0.26649,-0.079196,-0.18344,0.0121,-0.21941,-0.058,0.59296,-0.27283
0.0071431,-0.0046422,-0.19083,-0.17683,-0.000877,0.43924,0.058,-0.47387,-0.15361
-0.041974,0.20377,-0.57514,0.39955,0.0445,0.24086,0.056,0.66034,-0.058918
-0.14059,-0.71278,-1.4313,-1.1807,-0.0498,0.18037,-0.074,0.32185,-1.1471
0.19405,0.14785,0.50514,0.41251,-0.0535,-0.0016382,0.194,0.071437,-0.27202
-0.10764,0.29737,0.87311,0.29286,-0.194,-0.054816,-0.072,-0.073229,-0.32385
0.18486,0.41052,-0.54089,0.18999,0.0446,0.039578,-0.056,0.14756,-0.036332
0.14798,-0.082339,0.046932,0.046158,-0.0699,0.17761,-0.272,-0.077517,-1.531
-0.086726,0.010145,0.29365,0.37615,-0.196,0.67009,0.122,-0.083154,-0.39893
0.5363,0.39771,1.0665,0.027936,0.0312,0.35631,-0.052,0.081671,-0.067518
-0.11422,0.0016752,-0.091995,0.39225,0.116,-0.25557,0.032,0.099663,-0.19364
0.05084,0.16817,-0.14285,0.12743,0.0963,0.37398,-0.462,0.54903,-0.85461
0.54271,0.87797,0.50226,-0.16578,-0.665,-0.36387,0.096,0.31835,2.0673
0.35085,0.099966,-1.252,-0.54571,0.193,-0.67477,-0.232,-0.52263,-0.22041
-0.15425,0.089794,1.1573,0.19465,0.131,-0.76374,-0.176,-0.26677,-0.96915
0.58227,0.94529,0.78412,0.88227,0.0923,0.039456,0.008,0.32968,0.55397
0.10822,0.14157,0.084307,0.098051,0.0328,-0.40153,0.016,-1.1016,1.0649
-0.089584,0.012992,-0.76027,-0.49053,0.0976,0.05803,0.046,0.84103,-0.61084
0.043157,0.12003,0.48857,0.15324,-0.358,-0.03815,0.074,0.13175,0.86136
-0.051969,0.063262,0.7975,-0.13134,-0.136,-0.24575,0.042,0.23364,-0.18807
0.17884,0.23008,1.1784,0.26805,-0.145,0.012238,-0.048,0.15608,0.64566
0.19026,0.32787,-0.25074,-0.10157,-0.0913,-0.41382,-0.084,0.40619,-0.70236
0.13821,0.22288,-0.12701,0.042879,0.127,-0.69068,-0.03,-0.56379,-1.3173
-0.099471,0.42286,0.84845,-0.23896,0.129,-0.62027,-0.032,0.0051048,-1.3259
-0.16871,-0.15407,-0.70176,-0.12555,0.0984,0.28171,-0.008,0.76776,1.2452
-0.038168,0.17888,-0.028442,0.42559,-0.0281,-0.36586,0.076,0.1826,0.12343
-0.488,-0.68228,-1.0609,-1.4433,-0.131,0.15661,0.068,-0.33864,-0.4575
0.12171,0.040839,-0.060546,0.11305,-0.0849,0.33133,-0.14,0.22896,0.46536
0.15786,0.2508,0.15685,0.31105,0.293,0.045176,0.04,-0.1535,-0.3424
0.10395,0.049907,-0.33534,-0.39979,-0.117,-0.2354,0.094,0.43525,-0.062095
0.12373,-0.0018715,-0.44617,0.19182,-0.299,0.42595,0.132,0.31491,1.4804
-0.12115,0.22014,0.37359,0.32348,-0.0823,0.15115,0.036,-0.22372,-0.16301
0.25968,0.31939,1.1189,0.37916,0.316,-0.39435,0.044,0.13702,0.4961
0.045061,0.11079,0.32824,0.21732,0.219,-0.49707,-0.148,-0.10034,0.39038
-0.19104,0.079306,-0.34009,0.5285,0.163,-0.54156,-0.11,-0.3005,-0.50801
0.19897,0.2341,-0.43634,0.71395,-0.178,0.34338,0.014,0.11792,-0.29152
-0.30178,-0.24775,-0.06142,0.12325,0.0971,-0.15481,-0.078,0.13348,-1.3785
-0.14765,-0.39972,-0.93333,-0.66177,-0.093,0.12702,0.114,0.32735,-0.79244
0.068983,-0.12659,-0.2216,-0.66925,-0.0121,-0.68938,0.28,-1.0522,0.35163
-0.085508,0.097267,0.1985,0.047037,-0.125,0.18488,0.038,-0.79024,-1.1713
-0.01466,-0.031456,0.51686,-0.033852,-0.417,0.32248,0.066,-0.9776,-0.81248
0.14948,0.15405,-0.22881,-0.39845,0.196,-0.43357,0.046,-0.20609,0.11495
-0.10562,-0.15812,-1.7787,-0.50481,-0.103,0.23675,-0.064,0.010684,-0.44175
-0.015504,-0.10575,-0.33011,-0.83889,-0.498,-0.79747,-0.186,0.18449,-2.4238
0.22629,0.056967,1.3094,-0.76986,0.111,-0.0028827,-0.146,-0.39465,-0.47931
0.18588,-0.11327,-0.71216,-0.12326,0.325,-0.27552,0.004,-1.552,0.06493
-0.13484,-0.08724,-0.27366,-0.029158,-0.336,0.15105,0.048,0.14969,0.34583
-0.041352,-0.090542,-0.1779,-0.078973,0.0431,0.5838,0.152,0.27001,-0.71546
-0.26553,-0.35012,1.0709,0.19795,-0.0711,0.15751,0.178,-0.092269,-0.25884
0.21529,0.30256,0.091263,0.037118,-0.219,0.41062,0.256,-0.019861,-0.76967
0.15299,-0.0029529,-0.076453,0.032985,-0.191,-0.091307,0.158,0.25367,0.25093
-0.1279,-0.1546,-0.025489,-0.69898,-0.0682,0.39344,0.106,-0.055858,1.215
-0.026281,0.2407,0.15238,0.47182,-0.209,0.22381,-0.116,0.14414,-0.21895
0.24835,0.19332,0.67993,0.22754,0.155,0.0043234,0.002,0.39135,-0.08992
-0.13414,-0.021664,-0.66848,0.22995,-0.104,0.2084,0.08,-0.65169,1.9383
-0.027372,-0.20049,-0.99504,-0.20375,0.0297,0.48252,-0.024,0.34977,1.7766
-0.33126,-0.21572,0.097166,-0.017554,-0.00646,0.21394,0.134,-0.24172,-0.40429
-0.21323,-0.010019,0.35571,-0.29223,-0.151,0.045157,0.168,-0.20898,-1.018
