,Gene.symbol,MeanFC,Cleaned Gene Symbols
657,ANKRD1,-0.5366113124,ANKRD1
658,ANKRD10,0.1468291147,ANKRD10
664,ANKRD13D,0.2383096457,ANKRD13D
665,ANKRD16,0.3770679945,ANKRD16
666,ANKRD17,-0.1595511354,ANKRD17
671,ANKRD2,-1.9245785435,ANKRD2
679,ANKRD24,-1.5856066577,ANKRD24
703,ANKRD37,-0.5991391192,ANKRD37
704,ANKRD40,0.0551107908,ANKRD40
705,ANKRD42,0.2756195098,ANKRD42
708,ANKRD46,0.2465554844,ANKRD46
709,ANKRD49,0.2711434202,ANKRD49
711,ANKRD52,-0.4464739741,ANKRD52
714,ANKRD6,-0.1395021429,ANKRD6
721,ANKRD9,-0.1745245273,ANKRD9
724,ANKS3,-0.1917601701,ANKS3
728,ANKZF1,-0.1146649371,ANKZF1
736,ANO6,-0.0761793116,ANO6
740,ANP32A,-0.1370183099,ANP32A
743,ANP32B,-0.089195913,ANP32B
746,ANP32E,-0.313225234,ANP32E
748,ANTXR1,0.0837855638,ANTXR1
750,ANXA1,-0.1829297458,ANXA1
752,ANXA11,-0.1788450675,ANXA11
754,ANXA2,-0.0741398392,ANXA2
759,ANXA3,-0.4154459213,ANXA3
760,ANXA4,0.4817809249,ANXA4
761,ANXA5,0.1466739246,ANXA5
762,ANXA6,-0.2905314144,ANXA6
763,ANXA7,-0.3722479514,ANXA7
775,AP1B1,0.0861356097,AP1B1
777,AP1G1,-0.0098185603,AP1G1
779,AP1M1,-0.3352293896,AP1M1
781,AP1S1,0.302766588,AP1S1
782,AP1S2,0.0752255246,AP1S2
785,AP2A2,-0.3555815953,AP2A2
786,AP2B1,-0.0209327498,AP2B1
787,AP2M1,-0.0413045488,AP2M1
788,AP2S1,-0.12594885,AP2S1
789,AP3B1,-0.0630752229,AP3B1
791,AP3D1,0.0818502805,AP3D1
792,AP3M1,-0.2546542769,AP3M1
793,AP3M2,-0.087447727,AP3M2
795,AP4B1,-0.2190749399,AP4B1
802,AP5S1,-1.3151581765,AP5S1
804,APAF1,0.8230064467,APAF1
805,APBA1,-0.5764688313,APBA1
806,APBA2,0.2610608468,APBA2
807,APBA3,-0.1014425405,APBA3
808,APBB1,-0.2134873631,APBB1
812,APC,-0.3190052357,APC
818,APEH,-0.1189777164,APEH
819,APEX1,-0.0679100771,APEX1
821,APH1A,-0.009849218,APH1A
823,API5,-0.011037274,API5
824,APIP,-0.4933394542,APIP
825,APLF,0.8597135482,APLF
826,APLN,2.5417851998,APLN
828,APLP1,0.8900849574,APLP1
849,APOE,0.0205318941,APOE
861,APOOL,0.0498120696,APOOL
863,APP,0.0004766186,APP
864,APPBP2,0.1798377597,APPBP2
866,APPL2,-0.0615069375,APPL2
867,APRT,0.1201701512,APRT
868,APTX,0.2450629357,APTX
869,AQP1,-1.2853849299,AQP1
871,AQP11,0.022080437,AQP11
875,AQP3,1.1410498287,AQP3
876,AQP4,-4.1456880538,AQP4
886,AQR,-0.0759926301,AQR
887,AR,-0.2210806794,AR
888,ARAF,-0.4791935435,ARAF
890,ARAP2,0.7394919604,ARAP2
893,ARCN1,-0.0853406242,ARCN1
896,ARF3,0.0548197654,ARF3
897,ARF4,0.1487550393,ARF4
898,ARF5,0.1125639309,ARF5
899,ARF6,-0.0716357573,ARF6
900,ARFGAP2,0.1527104803,ARFGAP2
903,ARFGEF2,-0.1849024154,ARFGEF2
904,ARFIP1,0.163676611,ARFIP1
905,ARFIP2,0.0358026243,ARFIP2
