Erl1.24vDMSO.24_logFC,Erl3.6vDMSO.6_logFC,Erl3.24vDMSO.24_logFC,Erl3.72vDMSO.72_logFC,Erl3.168vDMSO.168_logFC,Erl10.24vDMSO.24_logFC
-0.0503585535,0.2590934096,-0.1943483059,0.0526922646,-0.0573036795,0.1062771679
0.2300269577,0.0392193426,0.1138843074,0.1164506702,0.2383435464,0.124760544
0.1227859903,0.0913547839,0.4324234579,0.1639888013,-0.2050624174,0.5711075651
0.3378456374,-0.0784160728,0.1538606324,0.2770314337,0.4209270547,0.3683864353
-0.1626972788,-0.1888693687,-0.1766419184,1.4561902788,-0.5580882894,-0.3906371418
-0.8074219074,-0.64550572,-0.8660695991,1.2079384353,-0.6769488805,-0.6486460067
-0.5188240439,-0.0983789099,-0.8060290358,-0.5882560206,0.7675527563,-0.4726375699
0.2291852747,0.0879644368,0.2102723006,-0.2258293089,0.0059305325,-0.0466227347
0.5841457268,0.2241396594,0.2083023048,0.0680347246,0.4028595342,0.3006444956
-0.2361922793,0.228436531,-0.2658505002,0.3344561595,-0.0704267786,-0.330114348
-0.0159941012,0.0200456338,-0.0293874609,0.2954330084,-0.0250218738,-0.2664556749
0.127013007,-0.0863051499,0.0965717664,-0.0448666241,0.1171324649,-0.0637914067
-0.3672431597,-0.5586500085,-0.3353330784,0.5157525598,-1.3793044432,-0.7803243148
0.5442286722,-0.5295634324,0.634730522,0.4024214183,0.5179849132,0.3363118624
-0.0023745388,-0.6924397063,-0.5826093606,0.8970634804,-0.7074785998,-0.2755566934
-0.1917819609,-0.3315129397,-0.1490398065,0.2949004241,-0.501901593,-0.2321988739
-0.2880651471,-0.3743196627,0.4827509104,0.020494441,0.3305987609,0.0800758448
0.11201303,0.0656595536,0.132810093,0.1272843933,0.0115760052,0.0780102127
0.1000924525,-0.1473422667,0.4903171651,0.0692814799,0.1236903471,0.313236555
-0.2011040562,-0.6566744033,-0.629529518,0.2027877492,0.0074265299,0.0247688446
-0.2457319403,0.1355284528,-0.6202583668,1.3288095439,-0.6426278055,-0.7616657768
